complex_name,confidence,bucket
abl1_decoy_010248,-5.88,low
abl1_decoy_006698,-5.8,low
abl1_decoy_003204,-5.74,low
abl1_decoy_008057,-5.63,low
abl1_decoy_002346,-5.53,low
abl1_decoy_008821,-5.49,low
abl1_decoy_001315,-5.42,low
abl1_decoy_008420,-5.34,low
abl1_decoy_007900,-5.34,low
abl1_decoy_009117,-5.33,low
abl1_decoy_001667,-5.32,low
abl1_decoy_006145,-5.3,low
abl1_decoy_010720,-5.28,low
abl1_decoy_002949,-5.25,low
abl1_decoy_003717,-5.24,low
abl1_decoy_007561,-5.21,low
abl1_decoy_006465,-5.2,low
abl1_decoy_007172,-5.14,low
abl1_decoy_005535,-5.12,low
abl1_decoy_005569,-5.12,low
abl1_decoy_006988,-5.11,low
abl1_decoy_009833,-5.11,low
abl1_decoy_008073,-5.1,low
abl1_decoy_005411,-5.07,low
abl1_decoy_007849,-5.07,low
abl1_decoy_009768,-5.05,low
abl1_decoy_007176,-5.04,low
abl1_decoy_003705,-5.03,low
abl1_decoy_002272,-5.01,low
abl1_decoy_001782,-5.01,low
abl1_decoy_003203,-5.0,low
abl1_decoy_007352,-4.98,low
abl1_decoy_009823,-4.97,low
abl1_decoy_005461,-4.97,low
abl1_decoy_007591,-4.96,low
abl1_decoy_008374,-4.95,low
abl1_decoy_007028,-4.95,low
abl1_decoy_005065,-4.95,low
abl1_decoy_001336,-4.94,low
abl1_decoy_008525,-4.94,low
abl1_decoy_010563,-4.94,low
abl1_decoy_006194,-4.92,low
abl1_decoy_007580,-4.9,low
abl1_decoy_004579,-4.89,low
abl1_decoy_010863,-4.89,low
abl1_decoy_008847,-4.87,low
abl1_decoy_008521,-4.86,low
abl1_decoy_004715,-4.84,low
abl1_decoy_008951,-4.83,low
abl1_decoy_009376,-4.83,low
