complex_name,confidence,label
wee1_active_000001,0.18,1
wee1_active_000002,-0.12,1
wee1_active_000003,-0.13,1
wee1_active_000004,-0.1,1
wee1_active_000005,-0.15,1
wee1_active_000006,-0.17,1
wee1_active_000007,-0.3,1
wee1_active_000008,0.4,1
wee1_active_000009,-0.61,1
wee1_active_000010,-0.65,1
wee1_active_000011,-0.24,1
wee1_active_000012,0.35,1
wee1_active_000013,0.29,1
wee1_active_000014,-0.01,1
wee1_active_000015,0.12,1
wee1_active_000016,-0.28,1
wee1_active_000017,-0.12,1
wee1_active_000018,-0.39,1
wee1_active_000019,-0.04,1
wee1_active_000020,-0.05,1
wee1_active_000021,0.33,1
wee1_active_000022,-0.2,1
wee1_active_000023,-0.17,1
wee1_active_000024,-0.14,1
wee1_active_000025,0.49,1
wee1_active_000026,-0.67,1
wee1_active_000027,-0.59,1
wee1_active_000028,-0.28,1
wee1_active_000029,-0.07,1
wee1_active_000030,-0.28,1
wee1_active_000031,-0.23,1
wee1_active_000032,0.33,1
wee1_active_000033,-0.65,1
wee1_active_000034,-0.08,1
wee1_active_000035,0.16,1
wee1_active_000036,0.64,1
wee1_active_000037,-0.07,1
wee1_active_000038,0.58,1
wee1_active_000039,-0.26,1
wee1_active_000040,-0.39,1
wee1_active_000041,-0.41,1
wee1_active_000042,-0.12,1
wee1_active_000043,-0.11,1
wee1_active_000044,-0.2,1
wee1_active_000045,-0.15,1
wee1_active_000046,-0.16,1
wee1_active_000047,-0.25,1
wee1_active_000048,0.6,1
wee1_active_000049,0.2,1
wee1_active_000050,0.2,1
wee1_active_000051,0.27,1
wee1_active_000052,-0.0,1
wee1_active_000053,-0.45,1
wee1_active_000054,0.11,1
wee1_active_000055,0.24,1
wee1_active_000056,-0.13,1
wee1_active_000057,-0.01,1
wee1_active_000058,-0.32,1
wee1_active_000059,-0.25,1
wee1_active_000060,0.03,1
wee1_active_000061,-0.63,1
wee1_active_000062,-0.44,1
wee1_active_000063,0.64,1
wee1_active_000064,-0.17,1
wee1_active_000065,-0.4,1
wee1_active_000066,0.19,1
wee1_active_000067,-0.17,1
wee1_active_000068,-0.01,1
wee1_active_000069,-0.21,1
wee1_active_000070,-0.11,1
wee1_active_000071,0.15,1
wee1_active_000072,0.22,1
wee1_active_000073,-1.22,1
wee1_active_000074,-0.58,1
wee1_active_000075,-0.54,1
wee1_active_000076,0.91,1
wee1_active_000077,-0.57,1
wee1_active_000078,-0.69,1
wee1_active_000079,0.57,1
wee1_active_000080,-0.06,1
wee1_active_000081,-0.24,1
wee1_active_000082,0.78,1
wee1_active_000083,0.7,1
wee1_active_000084,-0.52,1
wee1_active_000085,0.04,1
wee1_active_000086,-0.32,1
wee1_active_000087,0.23,1
wee1_active_000088,0.2,1
wee1_active_000089,0.63,1
wee1_active_000090,-0.05,1
wee1_active_000091,-0.06,1
wee1_active_000092,-0.14,1
wee1_active_000093,-0.6,1
wee1_active_000094,-0.57,1
wee1_active_000095,-0.47,1
wee1_active_000096,-0.16,1
wee1_active_000097,0.06,1
wee1_active_000098,-0.48,1
wee1_active_000099,0.28,1
wee1_active_000100,-0.58,1
wee1_active_000101,-0.54,1
wee1_active_000102,0.77,1
wee1_active_000103,0.99,1
wee1_active_000104,0.0,1
wee1_active_000105,-0.38,1
wee1_active_000106,0.09,1
wee1_active_000107,0.13,1
wee1_active_000108,0.03,1
wee1_active_000109,0.01,1
wee1_active_000110,-0.03,1
wee1_active_000111,-0.08,1
wee1_active_000112,0.12,1
wee1_active_000113,0.68,1
wee1_active_000114,-0.34,1
wee1_active_000115,-0.46,1
wee1_active_000116,0.1,1
wee1_active_000117,0.51,1
wee1_active_000118,-0.33,1
wee1_active_000119,-0.15,1
wee1_active_000120,-0.55,1
wee1_active_000121,-0.2,1
wee1_active_000122,-0.46,1
wee1_active_000123,-0.25,1
wee1_active_000124,-0.41,1
wee1_active_000125,-1.32,1
wee1_active_000126,-1.21,1
wee1_active_000127,0.17,1
wee1_active_000128,-0.27,1
wee1_active_000129,-0.13,1
wee1_active_000130,0.2,1
wee1_active_000131,0.34,1
wee1_active_000132,-0.19,1
wee1_active_000133,0.47,1
wee1_active_000134,0.68,1
wee1_active_000135,0.03,1
wee1_active_000136,0.5,1
wee1_active_000137,-0.18,1
